time_s,value
3.756,402
3.756,399
3.789,403
3.789,403
3.789,402
3.789,401
3.789,400
3.789,400
3.789,399
3.822,398
3.822,399
3.822,398
3.822,397
3.822,393
3.823,396
3.855,396
3.855,392
3.855,391
3.856,393
3.856,391
3.856,389
3.856,388
3.889,389
3.889,389
3.889,385
3.889,388
3.889,391
3.889,391
3.922,390
3.922,394
3.922,396
3.922,397
3.923,398
3.923,400
3.955,402
3.955,402
3.955,402
3.955,404
3.956,404
3.956,403
3.956,405
3.989,405
3.989,407
3.989,403
3.990,404
3.990,405
3.990,407
4.022,403
4.022,404
4.022,405
4.022,404
4.022,407
4.022,406
4.023,407
4.055,406
4.055,403
4.056,406
4.056,407
4.056,407
4.056,404
4.089,407
4.089,407
4.089,406
4.089,406
4.089,405
4.089,408
4.122,406
4.122,405
4.122,406
4.122,406
4.122,400
4.122,401
4.122,400
4.155,399
4.155,398
4.155,395
4.155,396
4.155,395
4.155,392
4.188,394
4.188,395
4.188,395
4.188,393
4.189,397
4.189,399
4.189,397
4.222,399
4.222,401
4.222,404
4.222,402
4.222,401
4.223,405
4.255,405
4.255,403
4.255,404
4.255,405
4.255,406
4.256,403
4.288,404
4.289,407
4.289,406
4.289,402
4.289,405
4.289,408
4.289,404
4.322,403
4.322,405
4.322,406
4.322,403
4.322,403
4.322,402
4.355,404
4.355,403
4.355,401
4.355,403
4.355,403
4.356,402
4.356,402
4.388,402
4.388,402
4.389,401
4.389,401
4.389,402
4.389,403
4.422,398
4.422,401
4.422,402
4.422,400
4.422,399
4.422,401
4.455,400
4.455,400
4.455,393
4.455,397
4.455,399
4.456,398
4.456,395
4.488,396
4.488,396
4.488,395
4.489,396
4.489,396
4.489,397
4.521,394
4.522,396
4.522,398
4.522,399
4.522,398
4.522,397
4.522,400
4.555,399
4.555,397
4.555,399
4.555,398
4.555,398
4.555,395
4.588,395
4.588,397
4.588,394
4.588,391
4.589,392
4.589,395
4.621,394
4.621,395
4.622,395
4.622,397
4.622,395
4.622,397
4.622,399
4.655,401
4.655,400
4.655,401
4.655,405
4.655,403
4.655,400
4.688,402
4.688,403
4.688,402
4.688,400
4.689,400
4.689,401
4.689,401
4.721,401
4.721,402
4.722,403
4.722,402
4.722,401
4.722,402
4.755,404
4.755,403
4.755,401
4.755,405
4.755,404
4.755,401
4.788,404
4.788,406
4.788,405
4.788,403
4.788,405
4.789,406
4.789,407
4.821,407
4.821,407
4.822,408
4.822,408
4.822,406
4.822,407
4.854,411
4.855,407
4.855,407
4.855,408
4.855,410
4.855,407
4.855,407
4.888,409
4.888,410
4.888,407
4.889,409
4.889,414
4.889,437
4.921,481
4.921,541
4.921,583
4.922,612
4.922,629
4.922,629
4.954,623
4.955,617
4.955,539
4.955,443
4.955,391
4.955,375
4.955,374
4.988,377
4.988,380
4.988,379
4.989,375
4.989,379
4.989,379
5.021,377
5.021,378
5.021,381
5.022,379
5.022,377
5.022,378
5.022,378
5.055,379
5.055,377
5.055,376
5.055,380
5.055,377
5.055,374
5.088,377
5.088,377
5.088,376
5.088,376
5.088,379
5.088,378
5.121,377
5.121,376
5.121,378
5.121,379
5.121,377
5.122,377
5.122,377
5.154,377
5.154,377
5.155,377
5.155,376
5.155,377
5.155,375
5.188,376
5.188,378
5.188,378
5.188,375
5.188,377
5.188,378
5.188,376
5.221,375
5.221,377
5.222,378
5.222,376
5.222,376
5.222,377
5.254,378
5.254,375
5.254,377
5.254,377
5.254,378
5.254,377
5.288,378
5.288,380
5.288,379
5.288,378
5.288,380
5.289,379
5.289,380
5.321,378
5.321,381
5.321,380
5.321,380
5.321,379
5.322,382
5.354,380
5.354,381
5.354,379
5.355,381
5.355,383
5.355,381
5.355,381
5.388,382
5.388,382
5.388,381
5.388,382
5.388,383
5.388,384
5.421,383
