time_s,value
2.923,422
2.923,421
2.923,420
2.924,425
2.924,422
2.924,419
2.956,422
2.956,422
2.956,423
2.957,422
2.957,422
2.957,423
2.957,422
2.989,419
2.990,423
2.990,423
2.990,421
2.990,421
2.990,423
3.023,424
3.023,421
3.023,421
3.023,423
3.023,425
3.023,420
3.023,421
3.056,422
3.056,423
3.056,421
3.056,422
3.056,423
3.057,422
3.090,421
3.090,421
3.090,423
3.090,422
3.090,422
3.090,422
3.123,422
3.123,422
3.123,420
3.124,424
3.124,423
3.124,418
3.124,421
3.157,424
3.157,423
3.157,421
3.157,421
3.157,421
3.157,421
3.190,422
3.190,421
3.190,424
3.190,423
3.190,422
3.190,422
3.191,424
3.223,423
3.223,421
3.223,423
3.224,421
3.224,422
3.224,421
3.256,423
3.256,425
3.256,419
3.256,420
3.256,424
3.256,424
3.289,420
3.290,420
3.290,423
3.290,423
3.290,421
3.290,422
3.290,423
3.323,422
3.323,419
3.323,421
3.323,423
3.324,421
3.324,417
3.356,422
3.357,423
3.357,420
3.357,421
3.357,422
3.357,424
3.357,420
3.390,422
3.390,422
3.390,422
3.390,420
3.390,421
3.390,422
3.423,423
3.423,422
3.423,421
3.424,423
3.424,423
3.424,420
3.456,422
3.456,425
3.457,421
3.457,420
3.457,422
3.457,426
3.457,422
3.490,421
3.490,421
3.490,423
3.490,421
3.490,420
3.490,421
3.522,421
3.523,420
3.523,420
3.523,422
3.523,422
3.523,419
3.523,420
3.556,421
3.556,422
3.556,420
3.556,420
3.556,421
3.556,419
3.590,419
3.590,419
3.590,419
3.590,418
3.590,416
3.590,418
3.622,419
3.623,419
3.623,417
3.623,417
3.623,417
3.623,416
3.623,415
3.656,414
3.656,406
3.656,395
3.656,391
3.656,389
3.656,388
3.689,385
3.689,385
3.689,385
3.689,386
3.690,382
3.690,386
3.690,386
3.723,385
3.723,383
3.723,384
3.723,387
3.723,385
3.723,383
3.756,383
3.756,385
3.757,383
3.757,383
3.757,383
3.757,384
3.789,383
3.789,385
3.789,384
3.789,385
3.789,381
3.789,383
3.790,383
3.822,384
3.822,381
3.822,382
3.822,386
3.822,384
3.823,384
3.855,384
3.855,385
3.856,385
3.856,383
3.856,383
3.856,386
3.856,383
3.889,384
3.889,385
3.889,385
3.889,384
3.889,384
3.890,383
3.923,384
3.923,382
3.923,383
3.923,383
3.923,382
3.923,381
3.956,382
3.956,385
3.956,384
3.956,382
3.957,383
3.957,384
3.957,382
3.989,381
3.989,382
3.989,385
3.989,384
3.989,381
3.989,383
4.023,384
4.023,382
4.023,382
4.023,383
4.023,383
4.023,383
4.023,383
4.056,385
4.056,385
4.056,382
4.056,383
4.056,385
4.057,385
4.089,381
4.089,383
4.089,384
4.089,385
4.089,384
4.089,384
4.122,385
4.123,384
4.123,381
4.123,384
4.123,385
4.123,383
4.123,384
4.156,385
4.156,384
4.156,383
4.156,384
4.156,383
4.156,385
4.189,382
4.189,384
4.189,386
4.190,384
4.190,383
4.190,384
4.190,383
4.223,385
4.223,381
4.223,383
4.223,384
4.223,384
4.223,383
4.256,385
4.256,384
4.256,383
4.256,383
4.256,385
4.256,384
4.289,383
4.289,383
4.289,385
4.289,385
4.289,384
4.289,383
4.289,386
4.322,385
4.322,381
4.322,384
4.323,385
4.323,385
4.323,383
4.356,384
4.356,386
4.356,384
4.356,382
4.356,383
4.356,384
4.356,383
4.389,383
4.389,385
4.389,384
4.389,383
4.389,383
4.390,384
4.422,385
4.423,382
4.423,383
4.423,384
4.423,385
4.423,381
4.456,383
4.456,383
4.456,385
4.456,381
4.456,384
4.456,387
4.456,384
4.489,383
4.489,383
4.489,385
4.489,384
4.490,383
4.490,384
4.522,384
4.522,384
4.523,383
4.523,383
4.523,385
4.523,381
4.523,381
4.556,384
4.556,385
4.556,382
4.556,383
4.556,386
4.556,386
4.589,383
4.589,383
4.589,387
4.589,383
4.590,383
4.590,384
4.622,386
4.622,383
4.622,383
4.622,383
4.622,383
4.622,386
4.622,384
4.655,384
4.656,385
4.656,383
4.656,383
4.656,384
4.656,385
4.689,382
4.689,383
4.689,386
4.689,386
4.689,384
4.690,390
4.690,397
4.722,403
4.722,407
4.722,412
4.722,414
4.722,415
4.722,411
4.755,417
4.756,417
4.756,419
4.756,417
4.756,417
4.756,420
4.789,418
4.789,418
4.789,420
4.789,420
4.789,418
4.789,418
4.789,422
4.822,420
4.822,419
4.822,419
4.822,423
4.822,420
4.822,419
4.855,420
4.856,419
4.856,419
4.856,416
4.856,419
4.856,422
4.856,421
4.888,418
4.888,419
4.888,423
4.888,421
4.888,418
4.888,419
4.922,420
4.922,419
4.922,418
4.922,423
4.922,420
4.923,419
4.955,419
4.956,420
4.956,421
4.956,419
