time_s,value
2.923,360
2.924,361
2.924,355
2.924,358
2.924,361
2.924,360
2.956,355
2.956,362
2.956,355
2.957,360
2.957,359
2.957,355
2.957,357
2.989,359
2.990,360
2.990,356
2.990,356
2.990,360
2.990,355
3.023,361
3.023,361
3.023,356
3.023,356
3.023,360
3.024,356
3.024,357
3.056,361
3.057,356
3.057,360
3.057,359
3.057,361
3.057,360
3.090,355
3.090,356
3.090,357
3.090,357
3.090,360
3.091,359
3.123,361
3.123,362
3.123,353
3.123,361
3.124,357
3.124,357
3.124,360
3.156,355
3.156,361
3.156,362
3.156,361
3.156,355
3.156,361
3.189,355
3.189,359
3.190,356
3.190,361
3.190,355
3.190,355
3.190,356
3.223,357
3.223,361
3.223,360
3.223,355
3.223,357
3.223,362
3.256,357
3.256,361
3.256,362
3.256,359
3.256,362
3.257,357
3.289,362
3.289,362
3.289,359
3.290,365
3.290,359
3.290,358
3.290,362
3.323,360
3.323,361
3.323,361
3.323,363
3.324,365
3.324,361
3.356,361
3.356,365
3.356,365
3.356,359
3.357,359
3.357,365
3.357,360
3.390,363
3.390,359
3.390,361
3.390,359
3.390,356
3.390,362
3.423,362
3.423,360
3.423,354
3.423,361
3.423,357
3.424,361
3.456,360
3.456,355
3.457,362
3.457,355
3.457,354
3.457,357
3.457,356
3.490,355
3.490,359
3.490,354
3.490,354
3.490,358
3.490,354
3.523,356
3.523,360
3.523,353
3.523,359
3.523,355
3.523,357
3.524,357
3.556,354
3.556,359
3.556,356
3.556,353
3.557,358
3.557,355
3.589,360
3.589,358
3.589,354
3.589,357
3.589,358
3.590,356
3.622,359
3.622,360
3.622,353
3.622,359
3.622,354
3.623,354
3.623,358
3.655,358
3.655,355
3.655,354
3.655,357
3.655,355
3.655,359
3.689,355
3.689,353
3.689,359
3.689,354
3.689,360
3.689,358
3.689,357
3.722,354
3.722,356
3.722,357
3.723,354
3.723,354
3.723,360
3.756,359
3.756,359
3.756,361
3.756,353
3.756,359
3.756,358
3.789,354
3.789,358
3.790,354
3.790,358
3.790,360
3.790,354
3.790,359
3.822,355
3.822,359
3.822,359
3.822,356
3.823,359
3.823,357
3.855,358
3.856,356
3.856,358
3.856,356
3.856,354
3.856,361
3.856,361
3.889,362
3.889,357
3.890,363
3.890,364
3.890,358
3.890,364
3.923,359
3.923,363
3.923,359
3.923,360
3.923,358
3.923,359
3.956,360
3.956,355
3.956,358
3.956,360
3.956,361
3.956,361
3.957,361
3.989,357
3.989,357
3.989,358
3.989,360
3.990,356
3.990,354
4.023,359
4.023,356
4.023,357
4.023,353
4.023,358
4.023,355
4.023,357
4.056,354
4.056,359
4.056,360
4.056,357
4.056,354
4.057,360
4.089,358
4.089,352
4.089,359
4.089,355
4.089,359
4.090,358
4.122,354
4.123,358
4.123,357
4.123,353
4.123,360
4.123,361
4.123,354
4.156,359
4.156,357
4.156,357
4.156,361
4.156,355
4.156,360
4.189,357
4.189,359
4.189,356
4.190,361
4.190,358
4.190,355
4.190,361
4.222,358
4.222,359
4.222,360
4.222,356
4.222,357
4.222,361
4.256,360
4.256,357
4.256,357
4.256,362
4.256,358
4.256,362
4.289,358
4.289,364
4.289,358
4.289,364
4.290,360
4.290,357
4.290,362
4.322,364
4.323,358
4.323,356
4.323,360
4.323,362
4.323,365
4.355,364
4.355,359
4.355,361
4.355,366
4.356,361
4.356,366
4.356,366
4.389,366
4.389,363
4.389,367
4.389,368
4.389,362
4.389,364
4.422,369
4.422,369
4.423,363
4.423,367
4.423,370
4.423,365
4.456,368
4.456,364
4.456,368
4.456,367
4.456,365
4.456,367
4.456,367
4.489,372
4.489,370
4.489,370
4.489,374
4.489,368
4.490,368
4.522,371
4.522,372
4.523,369
4.523,373
4.523,372
4.523,370
4.523,372
4.556,368
4.556,373
4.556,368
4.556,366
4.556,372
4.556,366
4.589,372
4.589,365
4.589,369
4.589,364
4.589,367
4.589,367
4.621,367
4.622,369
4.622,367
4.622,362
4.622,366
