time_s,value
0.009,304
0.028,305
0.049,305
0.072,304
0.094,323
0.110,306
0.131,303
0.153,302
0.172,304
0.194,304
0.213,304
0.233,302
0.254,303
0.274,285
0.297,302
0.316,303
0.336,278
0.356,311
0.376,304
0.401,314
0.417,300
0.441,311
0.458,305
0.482,303
0.502,270
0.518,302
0.538,304
0.559,297
0.579,304
0.603,304
0.621,305
0.644,304
0.667,304
0.683,336
0.707,304
0.724,300
0.748,304
0.763,304
0.783,286
0.805,304
0.825,305
0.849,306
0.866,306
0.886,305
0.914,304
0.927,304
0.947,305
0.968,306
0.988,304
1.009,303
1.029,305
1.050,305
1.070,305
1.090,304
1.111,305
1.131,304
1.152,304
1.172,303
1.193,304
1.220,304
1.233,304
1.254,304
1.274,305
1.296,299
1.315,304
1.336,304
1.357,302
1.379,304
1.404,298
1.421,297
1.440,304
1.459,293
1.479,303
1.500,304
1.525,286
1.543,304
1.561,304
1.582,304
1.602,304
1.623,303
1.644,302
1.664,261
1.685,302
1.705,305
1.729,304
1.746,304
1.766,305
1.793,306
1.808,304
1.833,304
1.849,304
1.869,305
1.889,304
1.913,302
1.931,304
1.951,301
1.971,304
1.995,304
2.014,304
2.037,306
2.055,304
2.073,303
2.094,304
2.114,293
2.140,309
2.158,304
2.176,303
2.196,304
2.218,302
2.238,304
2.258,304
2.278,313
2.299,305
2.319,307
2.342,309
2.361,311
2.381,307
2.402,315
2.427,289
2.447,313
2.465,311
2.486,307
2.504,309
2.525,307
2.551,313
2.565,329
2.590,317
2.607,309
2.627,317
2.658,316
2.671,294
2.687,315
2.708,315
2.728,315
2.749,317
2.772,314
2.789,316
2.809,314
2.829,314
2.851,314
2.872,309
2.890,313
2.911,309
2.932,309
2.954,315
2.974,313
2.994,311
3.014,189
3.035,19
3.061,45
3.081,316
3.097,311
3.118,310
3.140,306
3.163,292
3.183,276
3.200,308
3.223,312
3.243,311
3.262,309
3.283,310
3.308,305
3.328,304
3.351,304
3.365,302
3.388,304
3.406,304
3.426,305
3.446,307
3.473,304
3.487,306
3.507,331
3.531,306
3.548,320
3.569,307
3.592,308
3.610,307
3.631,304
3.652,304
3.674,320
3.692,306
3.710,304
3.731,304
3.751,309
3.772,304
3.795,307
3.814,304
3.833,305
3.853,304
3.879,288
3.894,329
3.915,304
3.936,304
3.956,304
3.977,304
4.000,285
4.016,281
4.037,327
4.060,304
4.080,304
4.100,302
4.120,304
4.141,304
4.160,304
4.183,267
4.202,304
4.226,304
4.243,310
4.265,340
4.290,305
4.306,305
4.324,304
4.345,307
4.365,304
4.387,304
4.407,305
4.426,307
4.446,308
4.467,309
4.490,307
4.511,305
4.532,302
4.549,314
4.569,313
4.596,311
4.612,304
4.639,336
4.655,314
4.673,318
4.698,315
4.718,313
4.740,316
4.756,311
4.776,313
4.797,311
4.822,313
4.838,310
4.859,313
4.879,311
4.900,309
4.921,311
4.939,311
4.960,310
4.979,302
5.002,316
5.025,309
5.041,292
5.061,311
5.081,317
5.104,279
5.123,310
5.144,302
5.165,285
5.185,286
5.206,312
5.227,311
5.247,315
5.267,287
5.293,317
5.314,317
5.329,319
5.350,315
5.370,314
5.400,311
5.414,304
5.434,311
